T_2_N_1,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 1 bonds."
T_2_N_2,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 2 bonds."
T_2_N_3,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 3 bonds."
T_2_N_4,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 4 bonds."
T_2_N_5,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 5 bonds."
T_2_N_6,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 6 bonds."
T_2_N_7,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Nitrogen atom by 7 bonds."
T_2_O_0,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 0 bonds in a molecule."
T_2_O_1,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 1 bonds in a molecule."
T_2_O_2,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 2 bonds in a molecule."
T_2_O_3,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 3 bonds in a molecule."
T_2_O_4,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 4 bonds in a molecule."
T_2_O_5,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 5 bonds in a molecule."
T_2_O_6,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 6 bonds in a molecule."
T_2_O_7,"This is the count of number of double bounded atoms (i.e. any double bonded atom, T_2) separated from Oxygen atom by 7 bonds in a molecule."
T_2_F_0,Similarly brief description  can be generated
T_2_F_1,Similarly brief description  can be generated
T_2_F_2,Similarly brief description  can be generated
T_2_F_3,Similarly brief description  can be generated
T_2_F_4,Similarly brief description  can be generated
T_2_F_5,Similarly brief description  can be generated
T_2_F_6,Similarly brief description  can be generated
T_2_F_7,Similarly brief description  can be generated
T_2_S_0,Similarly brief description  can be generated
T_2_S_1,Similarly brief description  can be generated
T_2_S_2,Similarly brief description  can be generated
T_2_S_3,Similarly brief description  can be generated
T_2_S_4,Similarly brief description  can be generated
T_2_S_5,Similarly brief description  can be generated
T_2_S_6,Similarly brief description  can be generated
T_2_S_7,Similarly brief description  can be generated
T_2_Cl_0,Similarly brief description  can be generated
T_2_Cl_1,Similarly brief description  can be generated
T_2_Cl_2,Similarly brief description  can be generated
T_2_Cl_3,Similarly brief description  can be generated
T_2_Cl_4,Similarly brief description  can be generated
T_2_Cl_5,Similarly brief description  can be generated
T_2_Cl_6,Similarly brief description  can be generated
T_2_Cl_7,Similarly brief description  can be generated
T_T_T_0,Similarly brief description  can be generated
T_T_T_1,Similarly brief description  can be generated
T_T_T_2,Similarly brief description  can be generated
T_T_T_3,Similarly brief description  can be generated
T_T_T_4,Similarly brief description  can be generated
T_T_T_5,Similarly brief description  can be generated
T_T_T_6,Similarly brief description  can be generated
T_T_T_7,Similarly brief description  can be generated
T_T_C_0,Similarly brief description  can be generated
T_T_C_1,Similarly brief description  can be generated
T_T_C_2,Similarly brief description  can be generated
T_T_C_3,Similarly brief description  can be generated
T_T_C_4,Similarly brief description  can be generated
T_T_C_5,Similarly brief description  can be generated
T_T_C_6,Similarly brief description  can be generated
T_T_C_7,Similarly brief description  can be generated
T_T_N_0,Similarly brief description  can be generated
T_T_N_1,Similarly brief description  can be generated
T_T_N_2,Similarly brief description  can be generated
T_T_N_3,Similarly brief description  can be generated
T_T_N_4,Similarly brief description  can be generated
T_T_N_5,Similarly brief description  can be generated
T_T_N_6,Similarly brief description  can be generated
T_T_N_7,Similarly brief description  can be generated
T_T_O_0,Similarly brief description  can be generated
T_T_O_1,Similarly brief description  can be generated
T_T_O_2,Similarly brief description  can be generated
T_T_O_3,Similarly brief description  can be generated
T_T_O_4,Similarly brief description  can be generated
T_T_O_5,Similarly brief description  can be generated
T_T_O_6,Similarly brief description  can be generated
T_T_O_7,Similarly brief description  can be generated
T_T_F_0,Similarly brief description  can be generated
T_T_F_1,Similarly brief description  can be generated
T_T_F_2,Similarly brief description  can be generated
T_T_F_3,Similarly brief description  can be generated
T_T_F_4,Similarly brief description  can be generated
T_T_F_5,Similarly brief description  can be generated
T_T_F_6,Similarly brief description  can be generated
T_T_F_7,Similarly brief description  can be generated
T_T_S_0,Similarly brief description  can be generated
T_T_S_1,Similarly brief description  can be generated
T_T_S_2,Similarly brief description  can be generated
T_T_S_3,Similarly brief description  can be generated
T_T_S_4,Similarly brief description  can be generated
T_T_S_5,Similarly brief description  can be generated
T_T_S_6,Similarly brief description  can be generated
T_T_S_7,Similarly brief description  can be generated
T_T_Cl_0,Similarly brief description  can be generated
T_T_Cl_1,Similarly brief description  can be generated
T_T_Cl_2,Similarly brief description  can be generated
T_T_Cl_3,Similarly brief description  can be generated
T_T_Cl_4,Similarly brief description  can be generated
T_T_Cl_5,Similarly brief description  can be generated
T_T_Cl_6,Similarly brief description  can be generated
T_T_Cl_7,Similarly brief description  can be generated
T_C_C_0,Similarly brief description  can be generated
T_C_C_1,Similarly brief description  can be generated
T_C_C_2,Similarly brief description  can be generated
T_C_C_3,Similarly brief description  can be generated
T_C_C_4,Similarly brief description  can be generated
T_C_C_5,Similarly brief description  can be generated
T_C_C_6,Similarly brief description  can be generated
T_C_C_7,Similarly brief description  can be generated
T_C_N_0,Similarly brief description  can be generated
T_C_N_1,Similarly brief description  can be generated
T_C_N_2,Similarly brief description  can be generated
T_C_N_3,Similarly brief description  can be generated
T_C_N_4,Similarly brief description  can be generated
T_C_N_5,Similarly brief description  can be generated
T_C_N_6,Similarly brief description  can be generated
T_C_N_7,Similarly brief description  can be generated
T_C_O_0,Similarly brief description  can be generated
T_C_O_1,This is the count of number of Carbon atoms (single double or triple bonded) separated from any Oxygen atom (single or double bonded) by 1 bond distance in a molecule.
T_C_O_2,Similarly brief description  can be generated
T_C_O_3,Similarly brief description  can be generated
T_C_O_4,Similarly brief description  can be generated
T_C_O_5,Similarly brief description  can be generated
